대분류,코드,카테고리명(앱),ICD-11 참조,하위 증상 예시,MVP
머리·얼굴,SYM-01,머리 아파요,MG30, MB40,두통(전체) | 편두통(한쪽) | 뒷머리 | 관자놀이 | 이마 | 머리무거움 | 박동성,Y
머리·얼굴,SYM-02,어지러워요,MB48,빙글빙글 | 아찔 | 눈앞 캄캄 | 균형 어려움 | 일어설 때,Y
호흡기·가슴,SYM-08,숨쉬기 힘들어요,MD11,숨이 차요 | 가슴 답답 | 깊은 숨 어려움 | 누우면 참 | 천명음,Y
호흡기·가슴,SYM-09,기침해요,MD12,마른기침 | 가래기침 | 밤에 심한 기침 | 피섞인 기침 | 만성기침,Y
소화기·배,SYM-12,배가 아파요,ME04,윗배 | 아랫배 | 배꼽주변 | 옆구리 | 명치 | 식후 | 공복 시,Y
소화기·배,SYM-13,소화가 안 돼요,ME08,속쓰림 | 더부룩 | 가스 | 식욕부진 | 조기 포만 | 트림,Y
근골격·관절,SYM-16,허리가 아파요,ME82,허리통증 | 엉덩이 퍼짐 | 허리 뻣뻣 | 숙이면 아픔 | 아침 심함,Y
근골격·관절,SYM-17,관절·근육이 아파요,ME80–84,어깨 | 무릎 | 손목 | 발목 | 목 | 근육통 | 관절 부종,Y
피부,SYM-19,피부가 이상해요,ME60–68,발진 | 두드러기 | 가려움 | 건조 | 습진 | 여드름 | 물집 | 변색,Y
정신·수면,SYM-24,잠이 안 와요,MG41,불면 | 자주 깸 | 새벽 각성 | 과다 수면 | 수면 질 저하,Y
,,,,,
※ 원본 출처: v0.8 R01 증상 카테고리(ICD-11) 시트. 30항목 중 MVP 10항목 선별. 코드-라벨 정합성 검증 완료.,,,,,
