환자 진료 요약 (F16) — v3.0,,,,,,
화면 ID,P-020,,,,,
화면명,진료 요약,,,,,
기능 ID,"F16 (+F14/F15/F17 통합)",,,,,
사용자,환자,,,,,
진입 조건,"결과 도착 알림 / 홈 상세보기 / 탭바",,,,,
화면 목적,"진료 결과를 환자가 이해할 수 있도록 5단 구조로 전달. 쇼케이스(타과/행동/쉬운말) 본 화면에 통합",,,,,
레이아웃 개요,"상단: 진료 정보 → ① 검사 결과 + AI 쉬운말 → ② 다음 단계 → ③ 처방 → ④ 타과의뢰 → ⑤ AI 면책 + 하단 CTA + 탭바",,,,,
v2.3 대비 변경,"P-015→P-020. 3단→5단 구조. P-016(행동체크)/P-017(타과)/P-018(쉬운말) 쇼케이스 본 화면에 통합",,,,,
,,,,,,
영역/섹션,컴포넌트,데이터 바인딩,상태,인터랙션,제약/규칙,PPS/정책
상단 바,"뒤로가기(← 홈 P-018) + 진료 요약 + [공유]",—,—,"← P-018, [공유]→공유시트",,
진료 정보,날짜 + 병원명 + 의사명,consultation_date / hospital / doctor,—,—,,
① 검사 결과,진단명,diagnosis,텍스트,—,"불확실성 표현 포함 (의심 등)",
,AI 쉬운말 요약 블록,plain_text,텍스트,—,"~해요/~에요 체 (UX 가이드)",F17
② 다음 단계,다음 방문 날짜,follow_up_date,날짜,—,,F14
,타과 예약 안내,referral_note,텍스트,—,"타과 의뢰 있을 때만 표시",
③ 처방,처방 약 목록 (약명+기간+쉬운말),prescriptions[],약명 + 일수 + plain_language,—,"각 약에 쉬운말 복약 안내 포함",F16
④ 타과의뢰,[의뢰] 배지 + 의뢰처,referral_hospital,—,—,"타과 의뢰 있을 때만 표시",F15
,의뢰 사유,referral_reason,텍스트,—,,
,의뢰일,referral_date,날짜,—,,
⑤ AI 면책,AI 면책 고지 (3종),—,영구 노출 / 닫기 불가,—,,AI-COM-02
,"⚠️ AI가 변환한 내용이에요",—,—,—,"정확하지 않을 수 있으니 의사에게 문의",
,"출처: {모델 버전}",model_version,—,—,,AI-COM-01
하단 CTA,[확인] 버튼,—,항상 활성,탭 → P-018,,
탭바,"🏠 홈 │ 📝 증상 기록 │ 📋 진료요약 │ 👤 마이페이지",—,진료요약 탭 활성,탭 전환,,
,,,,,,
노트,,,,,,
"타과의뢰 섹션이 핵심 — 와이어프레임에서 6년 만에 원인을 찾아가는 전환점으로 설정",,,,,,
"AI 참고 키워드에 진단/확진 표현 없음 (SaMD 준수)",,,,,,
"쉬운말 요약은 ~해요/~에요 체 (UX 가이드)",,,,,,
"처방 각각에 plain_language 표시",,,,,,
