의사 대시보드 (F11/F12/F13) — v3.0,,,,,,
화면 ID,D-000,,,,,
화면명,의사 대시보드,,,,,
기능 ID,"F11, F12, F13",,,,,
사용자,의사,,,,,
진입 조건,환자 선택,,,,,
화면 목적,"환자 맥락 파악 → AI 브리핑 → 증상 타임라인 → 판단 확정을 320~360px 플로팅 패널에서 수행",,,,,
레이아웃 개요,"320~360px EMR 위 플로팅 패널. 수직 스크롤: 환자정보 → 알레르기 → 주호소 → AI Risk Flags → AI 브리핑 → 증상 타임라인 → AI 참고 키워드 → 하단 CTA",,,,,
v2.3 대비 변경,"D-002→D-000. 5영역 데스크탑 레이아웃 → 320~360px 플로팅 패널. 대기열(D-001) 삭제",,,,,
,,,,,,
영역/섹션,컴포넌트,데이터 바인딩,상태,인터랙션,제약/규칙,PPS/정책
패널 헤더,"⠿ 이음 — {환자명} ({나이}세/{성별}) 🟢 진료중 {시간}",patient_name / age / gender / time,—,"🔔 📌 ✕ 버튼","320~360px 고정, EMR 위 플로팅",
알레르기 경고,"⚠️ Allergy: {약물명} — {반응}",allergies[],영구 표시,—,"경고 우선 표시, 빨간 배지",
Patient Information,만성질환 + 키/체중/BMI + 복약 수 + [더보기],basic_health,—,[더보기] → 상세 확장,,F11
Chief Complaint,환자 증상 원문 (N건 · 기간),chief_complaint / symptoms[],원문 그대로 표시,—,"편집 불가, 환자 언어 원문",F11
AI Risk Flags,패턴 카드,ai_risk_flags[],텍스트,탭 → [근거보기],"Recurrent / GI-Autonomic 등",
AI Pre-Consultation Brief,AI 종합 분석 텍스트,ai_briefing,생성중/완료,스크롤,,
,모델 정보,model_version,—,—,"ℹ️ 모델: Claude Sonnet v20250304",AI-COM-01
,AI 경고 (2종),—,영구 노출 / 닫기 불가,—,"⚠️ AI는 오류를 생성할 수 있습니다 / ⚠️ 의사가 반드시 검토해야 합니다",AI-COM-02
증상 타임라인 (축약),증상별 날짜+증상명+NRS+바이탈 요약,symptoms_timeline[],—,—,"최근 4건 표시",F12
,[+ 이전 기록 더 보기 →],—,—,탭 → D-F12,,
AI 참고 키워드,키워드 목록 (번호),ai_keywords[],—,—,"진단/확진 표현 금지",F13
,[데이터 보기 →],—,—,탭 → D-F12,,
,모델 정보,model_version_keywords,—,—,"ℹ️ 모델: MedGemma 27B v1.2",AI-COM-01
,AI 경고 (2종),—,영구 노출 / 닫기 불가,—,,AI-COM-02
하단 CTA,[결과 확인 및 EMR 전송],—,활성,탭 → D-001,,
,,,,,,
노트,,,,,,
"핵심 장면: 김도현이 AI 브리핑을 보고 6년간 못 찾던 패턴을 발견하는 순간",,,,,,
"3중 인코딩: 텍스트 + 아이콘(⚠️/ℹ️) + 배경색(#FFF8E1/#F5F5F5)",,,,,,
"AI 출력에 진단/확진 표현 없음 — 가능성, 의심, 패턴만 사용",,,,,,
"브리핑(Claude Sonnet)과 참고 키워드(MedGemma) 각각 별도 AI 경고 표시",,,,,,
